serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
293,37.51,64.25,52.27,-61.26,-6.36,70.08,116.22,-165.09,-133.75,-104.82
294,41.85,70.24,63.94,-57.68,0.68,56.45,74.17,-174.95,-153.17,-112.04
295,38.03,66.84,57.32,-62.28,-5.54,65.75,94.95,-170.82,-143.74,-109.17
296,37.62,67.85,58.18,-61.93,-5.74,65.52,88.53,-171.75,-145.27,-108.14
297,38.78,68.51,55.29,-62.65,-7.71,66.38,99.60,-166.93,-142.54,-107.92
298,36.81,67.61,53.93,-64.31,-9.42,68.55,110.37,-163.68,-137.44,-106.08
299,38.07,69.73,59.20,-61.95,-6.30,65.11,99.61,-165.59,-140.04,-108.29
300,35.67,69.19,54.96,-65.13,-12.56,68.43,109.14,-163.29,-133.28,-105.21
301,32.35,64.71,48.87,-70.11,-20.34,72.26,117.39,-164.75,-124.50,-104.52
302,32.98,64.48,45.72,-71.96,-24.36,72.61,123.94,-162.40,-110.83,-101.54
303,31.37,62.22,43.33,-70.83,-22.96,74.98,128.31,-162.27,-109.39,-101.62
304,45.14,68.82,55.80,-66.19,-11.08,127.61,132.65,-160.48,-130.51,-108.48
305,37.56,58.09,44.62,-76.72,-30.31,114.21,138.52,-163.09,-109.92,-107.70
306,36.97,58.81,43.66,-75.40,-28.33,114.76,134.57,-165.96,-116.37,-108.04
307,39.15,53.27,39.03,-75.56,-26.54,107.84,134.45,-170.72,-128.00,-111.87
308,40.42,56.43,41.21,-75.71,-26.13,107.46,133.65,-170.07,-131.05,-111.70
309,39.55,55.52,40.86,-75.65,-27.32,107.52,134.00,-170.07,-130.74,-112.14
310,39.47,54.22,38.89,-75.97,-27.64,107.12,135.27,-169.84,-127.21,-112.23
311,40.64,59.50,45.75,-73.02,-22.90,109.16,135.85,-166.04,-127.57,-110.47
312,39.64,56.92,41.70,-72.58,-23.69,110.70,141.10,-164.41,-122.35,-107.81
313,38.86,56.11,40.69,-73.04,-24.14,110.28,141.29,-165.20,-121.19,-107.56
