serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
24,43.44,-6.77,58.35,69.11,66.16,83.31,133.07,173.67,159.10,-12.46
25,40.28,-15.12,51.26,63.88,68.93,103.88,127.02,172.77,164.46,-13.31
26,42.94,-15.63,49.59,62.15,70.01,100.98,131.36,178.80,172.61,-22.22
27,41.79,-16.51,45.51,60.73,70.30,97.06,130.44,176.22,167.67,-20.66
28,41.31,-17.36,45.49,59.65,71.61,98.35,131.94,177.13,170.65,-25.20
29,41.50,-16.62,45.12,59.59,71.35,96.88,131.15,175.45,168.76,-23.06
30,41.84,-16.12,43.21,56.61,74.50,93.27,128.05,172.42,164.62,-28.17
31,43.13,-15.31,47.74,60.96,71.81,96.54,130.84,175.12,167.87,-22.01
32,42.17,-16.11,48.24,62.48,68.73,99.31,132.70,178.68,172.31,-23.36
33,47.66,-8.70,59.58,71.56,63.99,97.20,134.36,177.44,167.33,-10.73
34,42.72,-13.93,51.64,63.50,67.79,94.35,132.54,176.90,169.36,-21.74
35,46.99,-10.04,54.92,68.59,66.33,94.64,135.10,176.90,168.66,-14.41
36,43.38,-13.71,49.24,62.30,69.40,92.71,132.31,175.46,167.32,-22.21
37,43.52,-13.98,47.96,61.12,69.57,93.01,133.08,176.97,169.68,-26.55
38,43.49,-12.87,48.21,63.45,68.19,92.33,132.65,173.91,163.81,-14.55
39,43.57,-13.73,44.92,61.64,68.49,93.61,133.92,175.03,168.70,-20.59
40,44.78,-12.54,44.97,63.69,67.59,93.48,134.49,175.23,168.04,-17.19
41,42.35,-14.94,40.83,57.14,70.20,92.32,132.62,173.92,167.94,-26.63
42,44.13,-12.13,42.01,58.48,70.93,88.93,130.64,169.58,160.40,-16.47
43,44.37,-12.57,42.20,58.66,70.51,89.40,131.49,171.41,164.65,-21.68
44,43.11,-14.68,39.75,59.12,68.69,91.73,133.55,174.75,167.77,-23.42
45,43.37,-12.80,37.93,57.54,72.34,89.06,130.49,168.19,159.21,-18.14
46,43.80,-13.41,38.07,57.01,71.07,90.60,131.69,170.24,164.16,-24.67
47,44.11,-14.20,43.19,58.81,69.24,91.16,132.71,172.70,166.11,-26.98
48,39.35,-16.45,39.73,54.36,72.08,87.83,129.07,169.88,161.97,-25.55
49,39.26,-17.29,41.68,56.47,73.16,90.04,130.03,169.82,161.98,-27.63
50,43.98,-12.15,43.29,58.58,71.82,86.23,129.47,166.50,156.52,-14.79
51,46.92,-8.82,43.39,60.08,70.70,84.03,129.86,164.35,152.27,-9.64
52,45.56,-10.66,46.48,58.27,70.01,85.89,130.58,165.69,155.08,-13.97
53,45.94,-9.09,47.58,60.37,71.57,83.04,129.91,164.59,154.42,-5.50
54,46.36,-9.11,45.95,58.61,72.19,83.53,130.08,165.22,157.68,-10.03
55,46.26,-9.02,44.07,57.24,73.37,82.82,129.10,162.87,153.61,-6.95
56,46.10,-9.60,44.25,57.48,72.39,82.68,129.13,165.29,156.03,-9.42
57,48.57,-6.47,45.28,58.75,72.33,80.43,129.02,163.28,153.77,-6.42
58,49.15,-3.71,51.51,63.44,70.31,74.28,126.18,152.70,136.07,7.97
59,49.40,-3.00,52.32,63.01,70.85,74.53,125.99,151.50,134.39,10.00
60,50.00,-2.86,53.02,64.07,69.52,73.87,126.32,150.86,132.56,11.43
61,48.16,-3.74,49.79,62.33,70.51,72.47,124.99,151.65,134.38,9.19
62,48.81,-4.20,48.15,60.89,71.77,71.03,125.21,154.43,138.90,6.34
63,47.28,-5.51,46.84,59.87,72.44,74.72,126.03,155.52,141.52,5.53
64,44.36,-12.75,43.15,57.48,72.92,70.92,123.89,155.99,146.44,2.00
65,47.28,-15.20,39.89,54.40,73.99,96.54,124.31,158.06,147.10,-2.68
66,47.70,-12.70,55.53,62.97,71.37,102.85,133.14,166.22,155.97,-10.86
67,47.64,-7.02,60.78,63.67,67.43,100.78,136.53,177.37,174.03,-13.06
68,54.85,0.38,68.17,71.88,65.84,96.13,138.42,175.17,169.34,-6.08
