p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-13.57,10.35,10.3,-0.27,-5.75,-27.65,15.86,42.15,40.21,44.15,ও
-20.87,-0.88,-2.21,-10.36,-15.14,-17.75,19.0,43.26,40.7,45.42,ও
-20.96,0.15,-0.71,-9.18,-14.01,-19.29,17.87,42.32,39.85,44.79,ও
-27.77,-4.56,-5.03,-12.32,-18.15,-17.93,13.41,36.17,34.56,41.15,ও
-35.63,-8.71,-8.4,-15.05,-21.81,-21.12,5.64,26.6,26.41,34.52,ও
-37.15,-9.47,-9.13,-15.16,-22.0,-21.98,5.04,26.02,25.9,33.81,ও
-42.12,-11.6,-10.2,-15.42,-22.62,-25.52,-0.18,20.1,21.32,29.87,ও
-42.43,-3.71,4.21,-8.23,-15.24,-43.42,-3.54,17.92,16.76,24.88,ও
-27.33,7.14,13.77,4.34,-10.89,-34.04,5.07,32.5,29.95,36.38,ও
-26.68,7.6,10.27,0.92,-3.76,-39.05,8.54,32.77,31.31,36.27,ও
-26.4,10.21,15.12,8.23,8.8,-43.34,5.91,32.58,31.86,40.04,ও
-27.34,11.36,17.82,11.19,10.21,-47.24,0.76,27.43,27.87,36.25,ও
-25.48,9.43,15.48,9.06,7.53,-37.09,5.16,31.21,31.06,37.88,ও
-23.88,14.12,19.76,10.34,5.5,-41.01,2.05,28.24,29.22,35.98,ও
-27.25,4.61,8.07,1.23,-0.98,-32.34,4.32,28.78,27.75,34.57,ও
-20.42,19.45,26.42,16.05,10.36,-45.74,0.47,28.67,30.05,36.18,ও
-16.02,21.43,26.76,15.75,10.61,-42.3,6.06,35.72,35.36,40.16,ও
-16.61,21.13,26.66,15.89,10.62,-42.47,5.48,35.34,35.34,39.94,ও
-13.51,20.94,24.93,13.94,9.27,-38.39,11.17,41.35,39.46,43.27,ও
-14.3,19.04,22.79,12.68,8.64,-36.77,12.0,41.35,39.3,43.42,ও
-14.69,18.72,22.2,11.73,7.52,-36.12,12.11,41.87,39.71,43.84,ও
-16.36,16.14,19.38,9.87,6.1,-33.25,12.22,40.44,38.44,42.65,ও
-14.08,13.0,13.71,4.02,0.98,-22.68,17.61,45.55,41.94,45.41,ও
-17.25,12.24,14.26,4.8,1.15,-23.97,14.37,41.89,39.33,43.84,ও
-19.43,7.53,8.67,0.47,-2.57,-19.34,16.13,42.02,38.92,43.47,ও
-23.08,-2.04,-2.46,-8.67,-10.71,-9.74,19.18,42.57,37.97,42.52,ও
-25.14,-4.33,-4.56,-10.23,-12.49,-8.03,19.03,41.71,36.93,41.71,ও
-56.02,-24.19,-18.73,-17.74,-18.25,-6.23,-2.77,12.0,9.65,19.44,ও
-47.05,-9.27,-3.27,-6.56,-9.88,-26.55,-3.18,15.73,15.65,25.03,ও
-48.04,-9.6,-3.27,-6.31,-9.72,-27.21,-3.79,15.18,15.4,24.93,ও
-43.87,-4.72,2.13,-2.38,-6.55,-31.92,-3.4,16.98,17.7,27.01,ও
-38.15,-1.45,4.57,-1.21,-5.48,-30.26,1.64,23.69,23.43,31.27,ও
-33.54,3.03,8.35,1.44,-3.25,-32.29,3.46,27.05,26.77,33.79,ও
-27.87,2.25,5.11,-2.34,-5.68,-23.49,12.84,36.98,33.98,39.61,ও
-27.7,2.58,5.33,-1.85,-5.27,-23.72,13.11,37.07,34.45,39.89,ও
-38.07,1.36,7.86,1.78,-3.59,-35.13,-1.46,20.78,21.99,30.16,ও
-28.3,5.61,9.88,2.0,-2.81,-29.84,8.25,33.04,31.67,38.03,ও
-26.15,6.57,10.11,1.79,-2.81,-28.23,11.07,36.21,34.26,39.75,ও
-35.86,2.34,8.43,1.83,-3.58,-33.93,1.28,24.47,24.98,32.67,ও
-36.05,3.27,10.89,4.56,-0.69,-38.28,-1.95,21.43,22.92,31.13,ও
-22.67,16.08,22.11,11.99,5.83,-37.59,2.11,29.85,30.47,36.59,ও
-7.74,22.4,24.04,14.16,12.42,-31.29,20.66,53.25,49.89,51.51,ও
-8.7,21.74,23.54,13.86,11.88,-31.53,19.8,51.99,48.93,50.71,ও
-15.18,14.03,15.81,7.89,5.97,-26.98,18.29,47.61,44.45,47.78,ও
-39.67,-12.3,-9.09,-10.59,-12.84,-11.97,8.21,28.15,25.54,32.61,ও
-45.61,-17.92,-14.38,-14.36,-16.55,-8.08,4.71,23.49,21.29,29.39,ও
-49.33,-14.59,-9.25,-9.85,-13.82,-17.81,-2.26,16.61,16.71,26.09,ও
-51.35,-10.69,-3.34,-5.9,-12.37,-30.57,-14.15,5.21,9.41,22.09,ও
-47.27,-1.26,7.4,3.19,-5.03,-35.17,-15.38,4.46,9.35,21.61,ও
-46.46,-1.69,6.97,2.74,-5.13,-34.24,-13.15,7.26,11.6,23.18,ও
-39.52,3.21,10.63,4.16,-4.48,-34.4,-6.85,15.9,18.95,28.94,ও
-41.65,-3.65,2.69,-3.71,-11.21,-25.27,-0.7,19.71,19.84,29.67,ও
-42.97,-7.31,-1.48,-5.92,-8.12,-22.8,-1.11,19.53,20.32,30.4,ও
-37.68,4.42,11.61,4.29,-0.56,-39.42,-5.78,17.27,19.94,28.96,ও
-19.73,20.41,26.44,15.36,8.99,-44.46,4.34,33.58,34.26,38.97,ও
-20.81,17.04,22.67,12.27,6.62,-42.58,4.61,33.39,33.7,38.52,ও
-15.84,22.84,28.63,17.65,11.7,-46.69,5.91,37.01,37.12,40.26,ও
-16.73,24.44,30.97,18.82,10.47,-51.88,-1.8,28.94,31.03,35.66,ও
-26.62,15.81,24.2,15.18,7.87,-52.0,-4.09,22.96,25.95,32.27,ও
-18.36,22.08,27.5,15.51,6.32,-50.79,-5.17,24.23,26.96,33.67,ও
-36.88,4.34,11.55,5.64,-0.56,-45.18,-3.79,19.88,22.07,29.84,ও
-31.94,3.66,7.78,1.11,-3.96,-34.97,6.64,31.73,31.13,37.2,ও
-36.1,-1.3,4.0,-0.87,-5.38,-32.62,4.83,28.13,28.34,34.67,ও
-16.1,-1.35,-2.58,-8.33,-13.06,-7.34,16.41,40.74,37.57,41.63,ও
-4.98,10.22,9.02,1.47,-2.74,-15.66,21.63,49.99,46.63,47.68,ও
-4.79,11.1,9.79,2.28,-1.95,-16.88,22.19,51.04,47.4,48.07,ও
