p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-38.47,-70.28,-81.85,27.29,9.24,-74.03,5.81,-6.37,22.94,22.49,ঋ
-39.64,-70.52,-82.02,27.71,9.38,-73.96,5.63,-6.39,22.92,22.61,ঋ
-44.16,-75.26,-87.57,23.7,6.84,-71.57,16.1,19.96,22.57,22.35,ঋ
-42.09,-72.0,-84.97,23.37,6.55,-66.89,20.56,39.93,25.76,24.53,ঋ
-41.37,-69.84,-83.23,23.36,6.59,-65.33,21.73,50.46,27.07,25.34,ঋ
-44.06,-71.13,-83.68,23.6,6.54,-65.4,21.97,45.97,25.63,24.34,ঋ
-46.21,-63.22,-73.82,17.53,2.0,-50.54,15.79,114.25,29.38,27.6,ঋ
-43.91,-68.39,-79.79,14.38,-2.0,-50.02,63.54,98.72,34.72,32.06,ঋ
-42.42,-58.43,-68.52,10.3,-3.1,-36.28,78.24,101.3,38.15,33.76,ঋ
-40.73,-55.83,-66.18,10.18,-3.95,-37.67,74.3,92.99,39.85,34.87,ঋ
-37.65,-58.92,-57.51,14.9,-2.58,-51.71,40.05,74.5,40.86,34.1,ঋ
-38.93,-51.31,-60.32,27.16,14.28,-37.49,45.82,54.36,42.08,35.15,ঋ
-38.25,-50.89,-57.04,40.26,22.45,-58.4,17.92,14.37,36.36,29.94,ঋ
-37.76,-53.18,-62.38,38.86,21.55,-59.6,19.79,16.2,35.03,29.44,ঋ
-44.05,-60.15,-71.66,23.09,10.2,-37.91,52.95,61.38,36.19,32.2,ঋ
-41.32,-55.98,-66.26,23.0,10.64,-38.69,49.49,60.88,38.51,33.84,ঋ
-40.67,-53.84,-64.28,19.01,7.93,-32.72,55.42,70.22,40.16,35.57,ঋ
-39.28,-52.35,-63.47,18.61,7.47,-32.62,53.33,67.64,41.11,36.03,ঋ
-43.99,-57.93,-67.54,22.29,9.75,-39.09,45.99,62.45,37.92,33.77,ঋ
-42.29,-55.04,-64.62,23.68,10.93,-39.91,40.57,54.07,37.68,32.97,ঋ
-42.56,-72.89,-84.43,29.6,14.12,-56.4,25.36,50.32,29.42,27.85,ঋ
-43.0,-73.59,-84.32,29.12,13.89,-56.65,29.44,65.78,29.55,28.11,ঋ
-42.27,-72.54,-83.37,28.63,13.54,-56.05,29.57,69.1,30.37,28.54,ঋ
-42.04,-71.56,-83.05,29.0,13.75,-56.55,26.47,62.48,30.8,28.48,ঋ
-52.51,-78.22,-82.8,24.28,-1.35,-66.72,18.82,-34.45,16.15,18.06,ঋ
-47.52,-64.36,-74.38,23.38,21.76,-77.38,3.73,-15.49,16.33,14.98,ঋ
-48.34,-72.07,-83.95,24.33,20.15,-44.22,41.81,28.04,26.17,18.52,ঋ
-50.58,-74.31,-84.55,24.48,20.7,-47.46,46.68,37.29,23.86,17.04,ঋ
-50.31,-73.88,-82.82,22.85,19.33,-47.56,41.13,46.09,24.21,17.47,ঋ
-49.09,-70.45,-79.33,22.49,19.06,-49.3,38.45,52.36,25.27,18.49,ঋ
-41.89,-62.12,-71.34,24.94,19.35,-49.83,30.21,46.01,33.06,23.66,ঋ
-49.07,-70.02,-75.94,17.11,13.76,-38.61,59.54,87.44,30.6,21.43,ঋ
-40.18,-57.59,-64.2,22.52,17.43,-43.28,46.14,67.41,38.58,26.28,ঋ
-54.58,-74.96,-83.38,16.03,8.91,-57.02,78.98,107.49,24.17,18.29,ঋ
