p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
10.53,-3.38,2.53,-1.14,-4.42,-77.91,-10.24,14.25,24.21,24.16,অ
15.54,-2.31,3.06,-0.92,-3.38,-77.38,-12.45,11.93,23.06,22.95,অ
11.94,-7.02,-2.29,-4.62,-6.81,-76.64,-12.64,11.89,22.73,22.64,অ
15.09,-7.94,-2.29,-2.53,-6.2,-95.82,-29.93,-6.67,8.57,11.36,অ
16.18,-5.88,-0.64,-2.16,-5.3,-94.07,-29.13,-6.58,8.29,11.43,অ
14.98,-7.24,-2.01,-2.62,-5.74,-95.85,-30.47,-7.92,7.23,10.58,অ
2.1,-20.37,-16.67,-14.29,-14.45,-96.8,-27.05,-4.2,9.29,12.22,অ
3.9,-17.76,-13.63,-11.97,-12.85,-94.18,-25.2,-2.33,10.46,12.96,অ
-0.22,-24.22,-22.08,-15.68,-15.97,-99.05,-28.3,-5.34,10.16,11.71,অ
-4.98,-25.15,-22.74,-20.82,-18.98,-97.76,-25.0,-2.56,9.18,11.65,অ
-5.79,-24.74,-22.31,-19.87,-18.04,-95.05,-22.08,0.66,11.51,13.56,অ
-4.89,-15.07,-13.02,-14.58,-14.72,-70.78,1.07,26.72,34.23,31.84,অ
-5.32,-17.81,-15.01,-14.98,-14.92,-79.47,-6.56,18.21,27.15,26.04,অ
-4.97,-17.08,-14.36,-14.45,-14.51,-77.8,-6.2,18.78,27.49,26.42,অ
1.03,-11.02,-6.52,-9.28,-11.8,-88.27,-14.4,9.3,22.97,21.03,অ
0.46,-16.35,-13.62,-14.86,-14.24,-97.44,-24.95,-3.67,8.65,11.22,অ
1.89,-13.16,-9.81,-11.57,-12.93,-97.18,-25.8,-3.85,9.12,11.71,অ
6.74,-5.06,-0.41,-2.36,-6.06,-96.11,-29.09,-6.4,8.87,10.93,অ
11.66,-1.25,3.43,0.44,-4.63,-97.63,-31.64,-8.97,7.43,10.32,অ
10.21,-3.28,1.19,-1.79,-6.05,-98.4,-32.51,-9.72,6.37,9.03,অ
2.76,-14.33,-11.05,-9.99,-11.8,-105.07,-34.83,-12.44,4.19,8.12,অ
-6.79,-23.03,-20.41,-17.89,-17.41,-95.44,-22.75,0.29,13.18,14.57,অ
-6.17,-22.85,-20.32,-18.02,-17.37,-93.64,-23.74,-0.82,12.56,14.52,অ
-6.14,-22.03,-19.28,-17.14,-17.12,-93.93,-23.05,0.16,13.66,15.15,অ
-5.93,-22.69,-19.55,-17.43,-17.4,-91.36,-20.76,2.93,15.56,16.61,অ
6.51,-6.25,1.07,-2.55,-9.23,-101.57,-26.09,-6.8,7.59,12.01,অ
12.42,-4.37,2.26,0.39,-5.42,-96.39,-23.75,-3.01,12.19,14.75,অ
9.93,-7.6,-1.45,-2.67,-7.84,-96.08,-23.41,-2.35,12.44,14.52,অ
9.81,-8.7,-3.03,-4.65,-8.92,-93.82,-21.86,-0.27,14.02,15.1,অ
4.82,-13.94,-8.66,-9.33,-12.54,-92.77,-19.46,1.93,15.49,16.24,অ
4.93,-13.91,-8.63,-9.15,-12.03,-93.84,-20.58,0.82,14.56,15.56,অ
8.33,-17.54,-12.16,-12.89,-13.77,-93.59,-20.06,1.6,16.41,16.13,অ
-1.16,-11.5,-5.35,-5.98,-9.46,-95.98,-23.66,-3.02,11.95,12.7,অ
-1.65,-9.77,-3.82,-4.58,-8.7,-96.76,-24.78,-4.45,10.81,12.58,অ
-3.0,-11.86,-5.94,-5.95,-9.31,-96.96,-24.26,-4.05,10.8,12.35,অ
-3.99,-13.03,-6.71,-8.15,-11.44,-97.14,-23.66,-3.39,11.05,12.74,অ
-2.81,-13.13,-8.27,-9.32,-11.51,-96.2,-22.89,-3.07,8.7,11.83,অ
-4.1,-12.67,-7.61,-8.35,-11.49,-94.67,-21.14,-1.78,9.27,12.72,অ
-9.09,-16.55,-11.61,-11.02,-14.36,-94.88,-19.48,1.29,12.67,15.41,অ
-6.43,-12.73,-8.55,-9.11,-12.1,-89.36,-17.44,4.56,15.46,16.89,অ
-6.48,-12.64,-8.67,-9.1,-12.21,-90.13,-18.06,3.85,15.02,16.56,অ
-3.17,-12.95,-8.13,-7.7,-10.91,-96.57,-25.64,-3.96,9.24,11.87,অ
