p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label,label_encoded
-54.11,14.01,7.61,2.73,-1.65,17.09,19.64,17.0,10.51,16.93,ক,10
-60.65,15.16,8.93,3.91,-0.5,11.68,20.0,17.39,11.24,17.52,ক,10
-62.12,15.75,10.17,6.0,1.2,10.72,20.32,17.88,12.25,18.9,ক,10
-60.24,16.22,10.45,5.65,1.02,14.81,20.31,17.66,11.79,18.05,ক,10
-60.3,15.84,10.33,5.83,1.1,14.27,21.32,19.06,13.45,19.71,ক,10
-61.96,15.98,10.37,5.6,1.16,14.15,20.97,18.57,13.1,19.31,ক,10
-61.28,16.06,10.32,5.82,1.25,14.63,20.96,18.54,13.16,19.11,ক,10
-60.94,22.44,17.43,16.56,13.54,19.8,13.79,9.98,0.84,12.5,ক,10
-53.12,21.07,15.65,14.37,11.18,25.62,15.23,11.7,2.21,13.27,ক,10
-60.56,18.05,11.49,8.67,4.7,11.52,17.17,14.23,5.9,15.66,ক,10
-62.39,18.51,11.93,9.52,5.74,-0.69,15.94,12.3,3.4,13.93,ক,10
-64.05,17.83,11.4,9.12,5.44,0.63,17.54,14.05,5.41,15.39,ক,10
-61.4,17.6,11.43,9.4,5.99,8.25,17.31,13.93,5.34,15.36,ক,10
-60.96,17.62,11.34,9.17,5.65,8.04,17.22,13.93,5.88,15.5,ক,10
-64.79,18.45,12.3,9.55,5.13,8.17,19.36,16.73,9.25,18.63,ক,10
-60.21,18.59,12.74,10.39,6.53,19.13,18.87,15.86,8.3,16.99,ক,10
-58.99,16.5,9.92,7.41,3.72,12.2,17.97,14.56,6.63,15.38,ক,10
-60.76,17.65,11.22,8.65,4.41,15.35,18.63,15.62,7.77,16.6,ক,10
-58.06,16.8,10.12,7.52,4.02,15.93,17.77,14.49,6.35,15.17,ক,10
-58.13,16.52,10.28,8.03,4.17,13.67,17.98,14.75,6.8,15.78,ক,10
-58.72,17.51,11.49,9.11,4.6,16.18,18.36,15.37,7.93,16.77,ক,10
-58.63,16.53,10.0,7.39,3.29,14.54,19.04,16.07,8.23,16.71,ক,10
-58.87,16.12,9.49,6.54,2.49,14.85,19.05,16.16,8.6,17.05,ক,10
-59.46,16.7,10.11,7.55,3.53,15.04,18.76,15.84,8.49,16.69,ক,10
-56.6,13.56,9.14,4.19,0.6,13.16,16.47,14.1,6.0,15.68,ক,10
-57.91,14.33,9.93,4.32,-0.12,14.87,17.58,15.29,7.28,16.54,ক,10
-56.52,13.69,9.3,3.71,-0.4,14.13,17.21,14.68,7.02,16.15,ক,10
-59.1,15.75,11.29,6.08,1.58,20.8,16.05,13.23,5.88,14.56,ক,10
-55.53,13.55,9.64,4.21,-0.59,13.38,17.01,13.46,5.94,14.99,ক,10
-55.89,10.55,4.86,-1.49,-5.88,8.36,17.49,14.0,5.72,14.18,ক,10
-57.39,13.06,8.49,2.42,-2.64,12.71,17.58,14.62,7.12,15.72,ক,10
-59.84,12.05,7.32,2.03,-2.56,8.34,18.2,15.36,7.93,15.94,ক,10
-58.15,11.3,5.89,-0.51,-5.7,7.0,18.21,15.26,8.06,15.87,ক,10
-58.04,11.61,6.03,-0.77,-5.9,10.55,17.4,14.43,7.24,14.8,ক,10
-57.17,12.25,7.22,0.61,-5.06,12.52,17.13,14.47,7.44,14.67,ক,10
-59.92,-24.95,-32.31,-26.62,-24.92,-158.5,-35.24,-59.1,-75.25,-83.07,খ,11
-66.29,-26.58,-32.2,-24.97,-21.01,-162.8,-41.07,-66.66,-80.29,-86.33,খ,11
-64.87,-26.42,-32.26,-25.29,-22.29,-142.25,-39.76,-64.85,-78.97,-85.03,খ,11
-62.76,-27.44,-34.21,-27.11,-23.69,-149.78,-38.12,-63.92,-78.71,-85.8,খ,11
-68.39,-24.82,-29.54,-22.42,-19.07,-157.45,-42.18,-67.14,-80.45,-85.33,খ,11
-64.99,-28.19,-34.68,-26.39,-21.15,-156.1,-38.76,-65.85,-81.26,-87.69,খ,11
-68.88,-25.98,-31.89,-24.25,-20.26,-165.03,-40.92,-66.82,-80.94,-86.84,খ,11
-69.61,-25.66,-31.22,-24.06,-20.31,-165.44,-41.06,-66.57,-80.74,-86.59,খ,11
-68.25,-24.95,-30.64,-23.27,-19.61,-171.56,-40.85,-66.4,-80.67,-86.12,খ,11
-70.41,-24.88,-29.82,-22.8,-19.26,-169.3,-41.79,-67.09,-80.83,-86.17,খ,11
-70.22,-26.0,-31.22,-23.94,-19.83,-169.74,-41.78,-67.73,-81.57,-86.95,খ,11
-70.32,-26.56,-31.96,-25.05,-21.11,-164.34,-41.54,-67.59,-81.9,-87.89,খ,11
-63.81,-25.51,-32.28,-25.78,-24.01,-159.25,-35.97,-60.1,-75.1,-81.55,খ,11
-67.82,-25.22,-31.01,-23.87,-20.95,-164.7,-39.6,-64.66,-79.34,-85.15,খ,11
-68.26,-26.03,-31.79,-24.82,-21.82,-164.35,-40.31,-65.56,-79.58,-85.89,খ,11
-66.29,-27.03,-33.74,-26.95,-23.65,-157.25,-37.99,-64.2,-79.47,-86.88,খ,11
-69.03,-26.85,-33.04,-26.32,-22.74,-160.62,-39.68,-65.96,-80.87,-88.18,খ,11
-68.17,-27.38,-33.75,-26.95,-23.71,-158.33,-38.64,-64.52,-79.61,-87.26,খ,11
-69.48,-27.72,-34.09,-27.08,-23.01,-160.24,-39.88,-66.58,-81.73,-89.01,খ,11
-51.97,-20.05,-29.74,-26.7,-26.84,-150.93,-28.49,-50.77,-67.58,-72.33,খ,11
-54.92,-21.74,-31.2,-27.53,-27.09,-147.53,-29.54,-53.25,-70.63,-76.0,খ,11
-52.47,-23.12,-33.87,-30.57,-29.99,-144.38,-27.06,-51.07,-68.98,-75.52,খ,11
-55.21,-22.89,-32.13,-27.96,-26.78,-148.14,-30.2,-54.85,-71.92,-77.14,খ,11
-54.33,-23.02,-32.97,-28.79,-27.15,-149.56,-29.21,-54.05,-72.35,-78.05,খ,11
-57.23,-23.87,-32.4,-27.7,-26.22,-148.89,-31.57,-56.8,-73.41,-78.31,খ,11
-54.26,-21.95,-30.6,-26.06,-24.35,-156.67,-31.97,-56.35,-73.31,-78.12,খ,11
-56.68,-24.02,-32.48,-27.61,-25.89,-150.91,-32.25,-57.53,-74.41,-79.32,খ,11
-61.34,-22.23,-29.7,-24.06,-21.87,-160.68,-33.85,-58.49,-75.08,-78.55,খ,11
-59.82,-22.98,-31.77,-27.91,-25.91,-158.57,-31.29,-55.84,-73.67,-79.11,খ,11
-59.1,-22.1,-30.72,-26.77,-25.65,-159.63,-30.59,-54.45,-71.92,-76.73,খ,11
-51.62,-21.57,-33.94,-30.6,-28.92,-144.25,-23.85,-50.1,-74.73,-78.6,খ,11
-51.17,-22.09,-34.02,-30.34,-28.51,-145.64,-24.62,-50.76,-74.02,-77.36,খ,11
-52.05,-19.48,-30.97,-27.9,-26.44,-151.19,-23.7,-48.77,-72.95,-76.64,খ,11
-53.0,-20.35,-31.5,-27.61,-25.13,-160.95,-26.66,-52.95,-76.6,-79.62,খ,11
-52.52,-20.49,-31.94,-28.57,-26.62,-155.25,-24.76,-50.45,-74.33,-77.78,খ,11
-56.64,-20.33,-29.74,-26.44,-25.38,-156.92,-27.83,-52.82,-73.85,-76.0,খ,11
-58.28,-21.81,-32.23,-28.18,-25.94,-154.12,-27.38,-53.58,-76.42,-78.87,খ,11
-58.32,-19.37,-28.53,-24.85,-23.57,-160.86,-28.71,-53.7,-74.84,-76.75,খ,11
-59.49,-19.03,-27.99,-23.53,-21.55,-162.1,-29.12,-54.82,-76.28,-77.99,খ,11
-59.35,-21.43,-31.1,-26.4,-23.57,-155.59,-27.81,-54.7,-77.36,-79.5,খ,11
-61.28,-23.6,-33.41,-27.94,-24.54,-151.59,-28.89,-57.05,-80.2,-82.09,খ,11
-62.26,-20.01,-28.71,-23.71,-21.27,-165.9,-31.48,-58.37,-79.3,-81.13,খ,11
-60.42,-21.51,-31.5,-27.26,-24.82,-155.17,-28.25,-54.74,-76.78,-79.78,খ,11
-61.0,-21.96,-31.26,-26.15,-23.51,-155.83,-29.3,-56.36,-77.63,-79.83,খ,11
-57.53,-16.09,-23.64,-19.51,-18.79,-171.09,-30.25,-54.06,-72.95,-73.95,খ,11
-57.84,-20.84,-31.33,-27.78,-25.92,-154.29,-26.31,-52.05,-74.48,-78.01,খ,11
-63.34,-20.83,-28.5,-22.83,-20.27,-162.64,-31.83,-58.28,-78.17,-78.79,খ,11
-54.23,-21.74,-33.92,-31.51,-30.35,-149.39,-22.83,-47.51,-70.93,-75.78,খ,11
-62.57,-20.99,-29.43,-24.59,-22.2,-156.68,-30.64,-56.74,-76.96,-78.91,খ,11
-61.45,-17.18,-24.8,-20.58,-18.86,-175.79,-31.45,-55.42,-74.5,-76.26,খ,11
-62.87,-21.69,-29.74,-23.54,-20.19,-161.17,-32.03,-59.33,-79.33,-81.1,খ,11
-57.34,-21.93,-31.96,-28.06,-25.62,-153.97,-28.95,-54.96,-76.56,-80.15,খ,11
-58.47,-19.95,-28.15,-23.53,-21.21,-159.52,-30.67,-56.4,-76.47,-78.46,খ,11
-57.75,-21.27,-30.82,-26.51,-23.88,-156.9,-28.32,-54.37,-75.84,-78.7,খ,11
-58.75,-21.35,-30.68,-25.87,-23.02,-159.39,-29.27,-55.79,-77.18,-79.53,খ,11
-60.96,-21.6,-30.26,-24.92,-21.6,-162.32,-31.21,-58.51,-79.52,-81.81,খ,11
-60.97,-20.31,-28.64,-23.7,-21.06,-160.98,-30.81,-56.93,-77.68,-79.7,খ,11
-60.23,-22.08,-31.3,-26.41,-23.48,-156.76,-29.59,-56.52,-78.02,-80.66,খ,11
-60.9,-21.9,-30.59,-25.27,-21.93,-159.75,-30.82,-58.26,-79.16,-81.21,খ,11
-59.58,-22.5,-31.05,-25.49,-21.91,-153.24,-31.08,-58.7,-80.38,-82.6,খ,11
-58.6,-22.87,-31.92,-26.6,-22.94,-153.55,-30.25,-57.89,-79.53,-81.77,খ,11
-65.31,-20.93,-28.9,-23.62,-20.53,-156.75,-31.94,-59.12,-79.71,-81.86,খ,11
-62.83,-19.19,-26.99,-22.12,-19.5,-165.31,-32.25,-58.62,-78.39,-80.06,খ,11
-65.15,-21.22,-29.18,-23.63,-20.1,-160.35,-32.68,-60.42,-80.6,-81.71,খ,11
-64.87,-20.08,-27.41,-21.91,-18.62,-161.27,-32.65,-59.73,-80.13,-81.13,খ,11
-63.82,-20.97,-28.95,-23.06,-19.56,-165.26,-32.78,-60.56,-81.18,-82.46,খ,11
-67.86,-21.59,-28.88,-22.9,-19.34,-163.41,-34.15,-61.9,-82.31,-83.5,খ,11
